OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1042,1432370,3802,2,AGG ASSAULT,368(B)(1)ENDANGER HEALTH/ELDER,3,3A,785,2020-01-14T00:14:40.000Z
1123,1432580,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,553,2020-01-09T00:22:30.000Z
1209,1432762,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5A,1396,2020-01-15T00:15:11.000Z
1249,1432854,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,563,2020-01-15T00:19:20.000Z
1255,1432886,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,625,2020-01-16T00:22:58.000Z
1287,1432948,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,768,2020-01-17T00:13:09.000Z
1309,1432998,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1623,2020-01-17T00:11:14.000Z
1311,1433010,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,746,2020-01-18T00:02:00.000Z
1319,1433030,1310,5,AGG ASSAULT,245(C) AWDW/NO FIREARM/OFFICER,4,4B,1306,2020-01-17T00:22:02.000Z
1403,1433175,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1358,2020-01-18T00:22:09.000Z
1417,1433198,1315,15,AGG ASSAULT,244 PC ASSAULT W/ CAUST CHEMIC,5,5B,1621,2020-01-19T00:21:16.000Z
1432,1433227,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,564,2020-01-19T00:15:01.000Z
1435,1433234,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,553,2020-01-19T00:09:00.000Z
1578,1433488,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1602,2020-01-20T00:22:35.000Z
1669,1433690,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,706,2020-01-20T00:18:00.000Z
1735,1433824,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,724,2020-01-22T00:06:01.000Z
1740,1433831,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3A,702,2020-01-22T00:10:43.000Z
7,1429868,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,611,2020-01-01T00:06:02.000Z
9,1429874,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3M,744,2020-01-01T00:00:33.000Z
19,1429913,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1C,426,2020-01-01T00:10:36.000Z
43,1430061,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,706,2020-01-01T00:22:00.000Z
80,1430171,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,221,2020-01-02T00:12:11.000Z
121,1430328,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,5,5B,1631,2020-01-03T00:10:56.000Z
152,1430400,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6B,1035,2020-01-04T00:02:43.000Z
186,1430518,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,746,2020-01-05T00:01:39.000Z
219,1430596,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,1441,2020-01-05T00:09:51.000Z
250,1430658,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3A,764,2020-01-05T00:15:28.000Z
285,1430743,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,563,2020-01-05T00:07:50.000Z
286,1430744,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1A,337,2020-01-05T00:11:11.000Z
302,1430784,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4C,1247,2020-01-06T00:18:22.000Z
308,1430800,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,906,2020-01-06T00:20:19.000Z
556,1431351,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1647,2020-01-08T00:19:12.000Z
579,1431389,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,5,5C,1639,2020-01-09T00:16:12.000Z
585,1431402,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,4,4B,1334,2020-01-08T00:20:28.000Z
597,1431430,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,1422,2020-01-06T00:22:45.000Z
617,1431467,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4C,1265,2020-01-08T00:16:35.000Z
701,1431648,1315,39,AGG ASSAULT,245(A)(4)AWDW-FORCE ONLY,6,6C,1124,2020-01-10T00:06:38.000Z
707,1431657,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,6,6C,1441,2020-01-10T00:19:18.000Z
772,1431848,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,1,1C,449,2020-01-10T00:18:54.000Z
784,1431893,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,UI,UI,UI,2020-01-11T00:07:31.000Z
